"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Создание заказа с разными цветами","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","API Заказов","",""
"","1540","Попытка создания дубликата курьера","tests","2026-03-17","passed","2026-03-17","TestCreateCourier","API Курьеров","",""
"","511","Успешное создание курьера","tests","2026-03-17","passed","2026-03-17","TestCreateCourier","API Курьеров","",""
"","592","Создание заказа с разными цветами","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","API Заказов","",""
"","463","Попытка создания курьера без обязательного поля","tests","2026-03-17","passed","2026-03-17","TestCreateCourier","API Курьеров","",""
"","544","Попытка создания курьера без обязательного поля","tests","2026-03-17","passed","2026-03-17","TestCreateCourier","API Курьеров","",""
"","625","Попытка авторизации без login","tests","2026-03-17","passed","2026-03-17","TestCourierLogin","API Курьеров","",""
"","567","Создание заказа с разными цветами","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","API Заказов","",""
"","1024","Успешная авторизация курьера","tests","2026-03-17","passed","2026-03-17","TestCourierLogin","API Курьеров","",""
"","498","Создание заказа с разными цветами","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","API Заказов","",""
"","12998","Получение списка всех заказов","tests","2026-03-17","passed","2026-03-17","TestGetOrders","API Заказов","",""
"","15380","Попытка авторизации без password","tests","2026-03-17","broken","2026-03-17","TestCourierLogin","API Курьеров","",""
"","460","Попытка авторизации с неправильными данными","tests","2026-03-17","passed","2026-03-17","TestCourierLogin","API Курьеров","",""
